Compared With,Repeat,Pseudo-F,p-value
D006678,8,10.787941286313249,0.001
D006678,9,12.040441876035718,0.001
D006678,10,7.168592305030126,0.001
D006973,1,6.720834937828899,0.001
D006973,2,5.949299429554098,0.001
D006973,3,9.295565720111346,0.001
D006973,4,6.454708351720041,0.001
D006973,5,7.345397140154512,0.001
D006973,6,6.504252822123163,0.001
D006973,7,5.300240887258991,0.001
D006973,8,6.520449297288131,0.001
D006973,9,3.732898995012774,0.003
D006973,10,9.346647811887099,0.001
D007230,1,9.663831165841,0.001
D007230,2,12.811402660395322,0.001
D007230,3,12.789003484529433,0.001
D007230,4,7.5268043729330385,0.001
D007230,5,12.990831858960641,0.001
D007230,6,10.940575622457986,0.001
D007230,7,13.548222645852396,0.001
D007230,8,13.138598973439738,0.001
D007230,9,10.849721818464111,0.001
D007230,10,10.845807370255296,0.001
D007234,1,19.51506042317628,0.001
D007234,2,15.630668028956704,0.001
D007234,3,13.826531968123556,0.001
D007234,4,15.802262853910502,0.001
D007234,5,14.538816892676863,0.001
D007234,6,16.311415903366875,0.001
D007234,7,17.073643166106066,0.001
D007234,8,16.21373550247498,0.001
D007234,9,12.81682830687683,0.001
D007234,10,14.441546513380294,0.001
D007410,1,2.917021562624168,0.004
D007410,2,3.005289942193824,0.001
D007410,3,1.7776639010262205,0.041
D007410,4,2.311271500944451,0.006
D007410,5,2.7652264212034785,0.006
D007410,6,4.464042010996345,0.001
D007410,7,2.859734481313652,0.001
D007410,8,2.380641046074864,0.003
D007410,9,1.2578399908931486,0.206
D007410,10,1.846661532551578,0.039
D007674,1,2.380182754100853,0.007
D007674,2,1.9304162345468123,0.019
D007674,3,2.553726798332028,0.008
D007674,4,2.0644895309125744,0.015
D007674,5,2.1166606564587966,0.012
D007674,6,3.2778095974542576,0.001
D007674,7,2.2767044461553354,0.016
D007674,8,3.0090319584875718,0.003
D007674,9,2.4733624225853976,0.006
D007674,10,2.847768106444962,0.005
D007676,1,5.650867415375311,0.001
D007676,2,5.616148418665455,0.001
D007676,3,5.734025169613762,0.001
D007676,4,6.419787294936924,0.001
D007676,5,7.130438316621451,0.001
D007676,6,6.747339981856232,0.001
D007676,7,5.447023679481447,0.001
D007676,8,6.490001202572287,0.001
D007676,9,5.330511634040064,0.001
D007676,10,5.112034407161995,0.001
D008103,1,4.294405752673818,0.001
D008103,2,2.851336475684503,0.001
D008103,3,4.608840129808939,0.001
D008103,4,4.80675702440669,0.001
D008103,5,5.162113595228671,0.001
D008103,6,4.355521508011996,0.001
D008103,7,3.5244254503109937,0.005
D008103,8,3.2806158370667364,0.005
D008103,9,4.923238156207183,0.001
D008103,10,5.842903170963031,0.001
