Compared With,Repeat,Pseudo-F,p-value
D011565,10,6.827322288822433,0.001
D012400,1,5.498022723583514,0.001
D012400,2,4.432039169287301,0.001
D012400,3,4.3508678056644365,0.001
D012400,4,4.879644063330655,0.001
D012400,5,3.4769241481753452,0.001
D012400,6,4.448871015070192,0.001
D012400,7,6.447434274650369,0.001
D012400,8,5.1513184851319185,0.001
D012400,9,4.142269771475954,0.001
D012400,10,3.818192536572209,0.001
D012559,1,2.015925755429731,0.001
D012559,2,3.9313434073238827,0.001
D012559,3,3.3769457838300454,0.001
D012559,4,3.322723845536463,0.001
D012559,5,3.15404182683515,0.001
D012559,6,2.6586535965673224,0.001
D012559,7,3.889713938384355,0.001
D012559,8,3.2613451459238307,0.001
D012559,9,3.023744485868319,0.001
D012559,10,3.6399626803020797,0.001
D012778,1,3.246412014767946,0.001
D012778,2,2.6050908015140957,0.001
D012778,3,3.5046581131545045,0.001
D012778,4,4.03655226870028,0.001
D012778,5,2.9003884035009424,0.001
D012778,6,3.7387807180345103,0.001
D012778,7,3.3845874433961156,0.001
D012778,8,2.9575983833318342,0.001
D012778,9,4.227819476836968,0.001
D012778,10,2.9063192227156294,0.001
D013167,1,4.409991363364371,0.001
D013167,2,6.583530674041099,0.001
D013167,3,4.854683424775663,0.001
D013167,4,5.289574708138313,0.001
D013167,5,4.961186755500448,0.001
D013167,6,6.973532241801396,0.001
D013167,7,6.070301134934741,0.001
D013167,8,5.213828347966404,0.001
D013167,9,4.810158096994838,0.001
D013167,10,6.331935760745796,0.001
D013274,1,20.415759901127544,0.001
D013274,2,22.266380715790916,0.001
D013274,3,20.699344625644184,0.001
D013274,4,22.81754667772624,0.001
D013274,5,21.114840150317253,0.001
D013274,6,19.505147368168576,0.001
D013274,7,19.510517121543685,0.001
D013274,8,21.676966454160315,0.001
D013274,9,20.881342310636946,0.001
D013274,10,20.707600025372987,0.001
D013959,1,1.7276872426228016,0.01
D013959,2,2.473437174904798,0.001
D013959,3,2.06865536487656,0.002
D013959,4,2.2874901872088627,0.001
D013959,5,3.287099640099686,0.001
D013959,6,2.8416887456802096,0.001
D013959,7,2.4650101055249016,0.001
D013959,8,2.4879150360042206,0.001
D013959,9,1.929505794219872,0.01
D013959,10,2.98936179175442,0.001
D013964,1,11.927276518480484,0.001
D013964,2,11.490777395223581,0.001
D013964,3,9.89375751591942,0.001
D013964,4,9.528412845567436,0.001
D013964,5,12.860790199181013,0.001
D013964,6,13.04789973020356,0.001
D013964,7,9.497340736507455,0.001
D013964,8,14.567533503497597,0.001
D013964,9,11.884693096248938,0.001
D013964,10,11.561723118402712,0.001
D014376,1,3.510628617509565,0.001
D014376,2,3.553630092005048,0.001
D014376,3,3.511580531752287,0.001
D014376,4,3.0859067123282555,0.003
D014376,5,3.7313559866539343,0.001
D014376,6,2.9691432980880847,0.001
D014376,7,2.795638421377031,0.001
D014376,8,4.12358015205415,0.001
D014376,9,3.599531653329242,0.001
D014376,10,2.654395234131905,0.001
D014607,1,5.129656706218562,0.001
D014607,2,5.677503173011787,0.001
D014607,3,5.788614379386783,0.001
D014607,4,4.064946938049224,0.001
D014607,5,4.725892989792124,0.001
D014607,6,6.706965044828037,0.001
D014607,7,4.1051262821003185,0.001
D014607,8,3.838541115468832,0.001
D014607,9,5.104859075841315,0.001
D014607,10,4.774113576940884,0.001
D015179,1,1.8962371067524506,0.004
D015179,2,1.1016747161980982,0.277
D015179,3,1.3249116522642095,0.098
D015179,4,1.5363450780071721,0.025
D015179,5,1.7350293411176179,0.027
D015179,6,1.8368751277746658,0.005
D015179,7,1.2115313534634091,0.16
D015179,8,2.837396512009941,0.001
D015179,9,2.0407249052867815,0.001
D015179,10,1.9626919745019171,0.001
D015212,1,2.0417305994128054,0.001
D015212,2,1.318588430408488,0.101
D015212,3,1.4932570207026405,0.045
D015212,4,1.736222819374538,0.014
D015212,5,1.9873319063548487,0.002
D015212,6,2.2119750619034253,0.001
D015212,7,1.2709084102994261,0.153
D015212,8,2.4254373023727185,0.001
D015212,9,1.6180063139842542,0.019
D015212,10,1.9464075358556476,0.006
D015497,1,3.8210065965850015,0.002
D015497,2,5.876608887393571,0.001
D015497,3,5.277872600370695,0.001
D015497,4,6.2929453519575755,0.001
D015497,5,4.53978435681919,0.001
D015497,6,8.347034076592442,0.001
D015497,7,3.504869920866304,0.002
D015497,8,2.9405896834026435,0.001
D015497,9,5.903257801945834,0.001
D015497,10,7.469554887271767,0.001
D016360,1,4.549260709563767,0.001
D016360,2,4.971214423632082,0.001
D016360,3,4.371189589653012,0.001
D016360,4,5.501329139747915,0.001
D016360,5,4.205226376623013,0.001
D016360,6,5.049931368022655,0.001
D016360,7,4.188847862222088,0.001
D016360,8,4.351843662336233,0.001
D016360,9,4.7515033200508405,0.001
D016360,10,4.498666116083966,0.001
D016640,1,3.4500147836762904,0.001
D016640,2,2.7958826510268646,0.001
D016640,3,3.398316698787652,0.001
D016640,4,1.9551612685380604,0.006
D016640,5,3.6062776082055716,0.001
D016640,6,2.610948674162127,0.001
D016640,7,2.2265219408182286,0.003
D016640,8,3.9741470405889876,0.001
D016640,9,2.882077840322059,0.001
D016640,10,3.1349504139996953,0.001
D016918,1,6.601311203673061,0.001
D016918,2,7.363234434590105,0.001
D016918,3,6.935743982407325,0.001
D016918,4,8.189813733913697,0.001
D016918,5,6.864787672823654,0.001
D016918,6,7.489385656002169,0.001
D016918,7,7.815362817996482,0.001
D016918,8,6.451278699254718,0.001
D016918,9,7.017698925145608,0.001
D016918,10,7.101655502521995,0.001
D019337,1,6.895050455754335,0.001
D019337,2,5.960096040103999,0.001
D019337,3,6.7056905947420935,0.001
D019337,4,7.398209410414878,0.001
D019337,5,4.610160429776071,0.001
D019337,6,5.125389002103496,0.001
D019337,7,4.959144072010975,0.001
D019337,8,4.6017317150077774,0.001
D019337,9,6.332209452885489,0.001
D019337,10,5.6507398539712685,0.001
D024821,1,6.761068589172014,0.001
D024821,2,7.350988860817719,0.001
D024821,3,8.145676638728267,0.001
D024821,4,7.1166361333087265,0.001
D024821,5,5.640409170006598,0.001
D024821,6,5.32450810201319,0.001
D024821,7,6.592970236810198,0.001
D024821,8,5.9665472475791175,0.001
D024821,9,6.874940859175131,0.001
D024821,10,7.945681687804904,0.001
D037841,1,2.3469189492060685,0.002
D037841,2,2.77482609728782,0.001
D037841,3,2.376695556210185,0.001
D037841,4,2.6038104338954384,0.001
D037841,5,2.0170482002862946,0.01
D037841,6,3.167105978775088,0.001
D037841,7,2.025603658049541,0.004
D037841,8,2.1832880465912092,0.007
D037841,9,2.326356620624102,0.002
D037841,10,1.8740482578299142,0.017
D043183,1,1.9976480244388641,0.005
D043183,2,3.440121710581264,0.001
D043183,3,2.4755331637242532,0.001
D043183,4,1.873898775971459,0.009
D043183,5,1.6601917249076805,0.033
D043183,6,1.114477705987695,0.271
D043183,7,2.128804938016847,0.005
D043183,8,1.8134632768278869,0.01
D043183,9,2.447905569533282,0.001
D043183,10,2.02283046306459,0.003
D050031,1,14.310414614448122,0.001
D050031,2,10.390230387660386,0.001
D050031,3,15.82183804010219,0.001
D050031,4,12.967754608849946,0.001
D050031,5,13.836779992526488,0.001
D050031,6,16.916639540836325,0.001
D050031,7,11.637998506983584,0.001
D050031,8,14.916979281712397,0.001
D050031,9,17.673969592739294,0.001
D050031,10,17.360235180462094,0.001
D050177,1,4.176355608664518,0.001
D050177,2,3.408712650755508,0.001
D050177,3,5.101430984588327,0.001
D050177,4,6.576960041492574,0.001
D050177,5,4.8375118667973895,0.001
D050177,6,5.481216656697433,0.001
D050177,7,5.829224282083858,0.001
D050177,8,5.4809744615222735,0.001
D050177,9,4.06565973363573,0.001
D050177,10,3.8965797358594583,0.001
D054198,1,5.942889598380723,0.001
D054198,2,5.262301189405921,0.001
D054198,3,5.897726114997561,0.001
D054198,4,4.645720940631778,0.001
D054198,5,5.427468494566849,0.001
D054198,6,6.633147188644944,0.001
D054198,7,5.8427365850342365,0.001
D054198,8,5.5388053280621605,0.001
D054198,9,5.303059870516909,0.001
D054198,10,6.096756210821642,0.001
D065626,1,1.9845999401024281,0.007
D065626,2,1.5156940882738557,0.042
D065626,3,1.5446404672272636,0.054
D065626,4,1.2750951814346572,0.154
D065626,5,1.694502053247357,0.013
D065626,6,2.3387652192825668,0.002
D065626,7,2.012737776489881,0.004
D065626,8,1.6011295474073175,0.03
D065626,9,1.8882356302234025,0.006
D065626,10,1.478696616081595,0.045
